2012-09-05T20:09:35.063949Z | source | DEBUG | Event: {'size': 34, 'timestamp': 1346875775.063849, 'basename': '836', 'uri': 'http://localhost:8888/resources/836', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.063849Z', 'changetype': 'CREATED', 'md5': '7NjBvCiw0yEeFDwXpbLC5g=='}
2012-09-05T20:09:35.064113Z | source | DEBUG | Event: {'size': 240, 'timestamp': 1346875775.064006, 'basename': '837', 'uri': 'http://localhost:8888/resources/837', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.064006Z', 'changetype': 'CREATED', 'md5': 'YWIgrGGL98cmEcotbIMbig=='}
2012-09-05T20:09:35.064278Z | source | DEBUG | Event: {'size': 531, 'timestamp': 1346875775.064163, 'basename': '838', 'uri': 'http://localhost:8888/resources/838', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.064163Z', 'changetype': 'CREATED', 'md5': 'dQX6BonW8zp+a3SWrgttcw=='}
2012-09-05T20:09:35.064447Z | source | DEBUG | Event: {'size': 676, 'timestamp': 1346875775.064326, 'basename': '839', 'uri': 'http://localhost:8888/resources/839', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.064326Z', 'changetype': 'CREATED', 'md5': 'jF9jx4gY0VuQyO9oVJ3Duw=='}
2012-09-05T20:09:35.064619Z | source | DEBUG | Event: {'size': 782, 'timestamp': 1346875775.064496, 'basename': '840', 'uri': 'http://localhost:8888/resources/840', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.064496Z', 'changetype': 'CREATED', 'md5': 'GioQqEwwyRwIwOOGyqjWCQ=='}
2012-09-05T20:09:35.064789Z | source | DEBUG | Event: {'size': 371, 'timestamp': 1346875775.064669, 'basename': '841', 'uri': 'http://localhost:8888/resources/841', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.064669Z', 'changetype': 'CREATED', 'md5': 'Y7u4XmNPYNsXozD3jpLxyw=='}
2012-09-05T20:09:35.064964Z | source | DEBUG | Event: {'size': 892, 'timestamp': 1346875775.064838, 'basename': '842', 'uri': 'http://localhost:8888/resources/842', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.064838Z', 'changetype': 'CREATED', 'md5': 'eEx1o9evoj+ZHm03vq8D/A=='}
2012-09-05T20:09:35.065122Z | source | DEBUG | Event: {'size': 309, 'timestamp': 1346875775.065013, 'basename': '843', 'uri': 'http://localhost:8888/resources/843', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.065013Z', 'changetype': 'CREATED', 'md5': 'aoZ/VoyS1Fvmmi/+IBVfVA=='}
2012-09-05T20:09:35.065294Z | source | DEBUG | Event: {'size': 766, 'timestamp': 1346875775.065171, 'basename': '844', 'uri': 'http://localhost:8888/resources/844', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.065171Z', 'changetype': 'CREATED', 'md5': '52anmeauBwnvPID3IEr8QA=='}
2012-09-05T20:09:35.065469Z | source | DEBUG | Event: {'size': 911, 'timestamp': 1346875775.065344, 'basename': '845', 'uri': 'http://localhost:8888/resources/845', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.065344Z', 'changetype': 'CREATED', 'md5': 'fK/fbwmo1BqKeKaM8ONljA=='}
2012-09-05T20:09:35.065645Z | source | DEBUG | Event: {'size': 895, 'timestamp': 1346875775.065519, 'basename': '846', 'uri': 'http://localhost:8888/resources/846', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.065519Z', 'changetype': 'CREATED', 'md5': 'Lcr5jS5VV4NykbgVPxJHuw=='}
